iter	Logloss
0	0.6632101523
1	0.623907402
2	0.5918117904
3	0.5638411618
4	0.5501207372
5	0.5321702224
6	0.5130347874
7	0.4964163899
8	0.4821785591
9	0.4705771785
10	0.4665461701
11	0.4561796353
12	0.4504036043
13	0.4433922356
14	0.4392224133
15	0.4373353386
16	0.4314453858
17	0.4282440287
18	0.4242110239
19	0.4206535912
20	0.4169579518
21	0.4142689912
22	0.4125828186
23	0.4101176241
24	0.4085475226
25	0.4068400458
26	0.4057073512
27	0.4045239597
28	0.4033328144
29	0.4022694036
30	0.4013179852
31	0.4004396184
32	0.3989496962
33	0.3987708703
34	0.3976908925
35	0.3967939971
36	0.3961083367
37	0.3954926893
38	0.3947334517
39	0.3940821877
40	0.3939041334
41	0.3935613251
42	0.3931941061
43	0.3928996259
44	0.3923799385
45	0.3919294624
46	0.3913877942
47	0.3909687907
48	0.3904479198
49	0.3901475638
50	0.3900335004
51	0.3899806459
52	0.3896619053
53	0.3893087828
54	0.3890627156
55	0.3888676746
56	0.3887104074
57	0.3884560766
58	0.3882792983
59	0.388278662
60	0.3880581339
61	0.3880259094
62	0.3879934594
63	0.3877814581
64	0.3875053744
65	0.387269101
66	0.3871062296
67	0.3868152724
68	0.3865830926
69	0.3862916406
70	0.3862776981
71	0.3860380595
72	0.3856395717
73	0.3854387824
74	0.3852171572
75	0.3850269392
76	0.3848950745
77	0.3846014324
78	0.3845313166
79	0.384293779
80	0.3841751879
81	0.3839146596
82	0.3837224562
83	0.3836496274
84	0.3836496274
85	0.3836496317
86	0.3836204584
87	0.383590913
88	0.3833495932
89	0.3831835686
90	0.3829455892
91	0.3828649739
92	0.3828073186
93	0.3824420258
94	0.3823295707
95	0.3822909825
96	0.3820526194
97	0.3819081833
98	0.3818565515
99	0.3818563796
100	0.3817852838
101	0.3817648743
102	0.3816142655
103	0.3815675115
104	0.3812955008
105	0.3810553192
106	0.3809320303
107	0.3807945052
108	0.3807043043
109	0.3806380841
110	0.3805061991
111	0.3804464937
112	0.3802470693
113	0.3800543155
114	0.380054407
115	0.3799305249
116	0.379888328
117	0.3797275393
118	0.3796196981
119	0.3793184153
120	0.3792061743
121	0.3790113076
122	0.3788160517
123	0.3787271226
124	0.3783449512
125	0.3781390645
126	0.3779545116
127	0.377893136
128	0.3777477055
129	0.3775317024
130	0.3774537768
131	0.3774090097
132	0.3771507829
133	0.3770383047
134	0.376891494
135	0.3766704307
136	0.376489275
137	0.3762782687
138	0.3760310816
139	0.3758585226
140	0.3756435877
141	0.3754979062
142	0.3750456226
143	0.3749454458
144	0.3747166775
145	0.3744361266
146	0.3743392524
147	0.3742806177
148	0.3741781079
149	0.373871755
150	0.3734922239
151	0.3734032251
152	0.3730007832
153	0.3727931794
154	0.3727123215
155	0.3724845318
156	0.3722789552
157	0.3720849003
158	0.371927006
159	0.3717450933
160	0.3715389723
161	0.3712305425
162	0.3710813091
163	0.3706952141
164	0.370523705
165	0.3701996083
166	0.3700735765
167	0.3698373332
168	0.3697300118
169	0.3694117517
170	0.3692870812
171	0.3689998915
172	0.3689121398
173	0.3686213364
174	0.3685419022
175	0.3683477915
176	0.3680667344
177	0.3678273704
178	0.3676142407
179	0.367469423
180	0.3673979601
181	0.3672729005
182	0.3671463693
183	0.3668987084
184	0.366600593
185	0.3662992126
186	0.3661786535
187	0.365963776
188	0.3657715296
189	0.3655621026
190	0.3655178026
191	0.3654285749
192	0.3651558716
193	0.365087349
194	0.3648095085
195	0.3646042808
196	0.3644477505
197	0.3641019851
198	0.3639294937
199	0.3637851785
200	0.3635569738
201	0.363263088
202	0.3629036184
203	0.3626050769
204	0.3624171265
205	0.3623321458
206	0.3620595158
207	0.3619596845
208	0.3617792306
209	0.3616863374
210	0.3614121527
211	0.3613344533
212	0.3612878384
213	0.3612269918
214	0.3609806714
215	0.3607476236
216	0.3604976301
217	0.3604306962
218	0.3601292104
219	0.3598507501
220	0.3597234296
221	0.3595624546
222	0.3592955315
223	0.3592047273
224	0.3589222347
225	0.3585635274
226	0.3583522625
227	0.3582720939
228	0.3582144144
229	0.3579258108
230	0.3576540802
231	0.3575731881
232	0.3573853752
233	0.357158515
234	0.3570748936
235	0.3567989042
236	0.3566448688
237	0.356391753
238	0.3562161653
239	0.3561364716
240	0.3559059911
241	0.3556193717
242	0.3554694666
243	0.3554026795
244	0.3552937634
245	0.355173176
246	0.3549328241
247	0.3548472094
248	0.3547236519
249	0.3545227762
250	0.3544526977
251	0.354175721
252	0.3539623731
253	0.3537782087
254	0.3536621555
255	0.3534144252
256	0.3532161136
257	0.3531674258
258	0.3529597766
259	0.3527763534
260	0.3525599923
261	0.3524207185
262	0.3523207955
263	0.3521215637
264	0.3518965118
265	0.3517306286
266	0.3515655196
267	0.3513729254
268	0.3511578422
269	0.351086025
270	0.350891119
271	0.3508536651
272	0.3505702348
273	0.3504205876
274	0.3502315612
275	0.3501156577
276	0.3499409106
277	0.3497729989
278	0.3495634557
279	0.3493147547
280	0.3491273305
281	0.3489023074
282	0.348666335
283	0.3484828935
284	0.3484398225
285	0.348258206
286	0.3479208207
287	0.3477743395
288	0.3476007598
289	0.3475430775
290	0.3473117853
291	0.3471046425
292	0.3470635302
293	0.3469191044
294	0.3467761721
295	0.3465025036
296	0.3463463768
297	0.3460869607
298	0.3459013514
299	0.3457909551
300	0.3455973715
301	0.3454657077
302	0.3452640295
303	0.3451778259
304	0.3448467889
305	0.3446808231
306	0.3445200421
307	0.3443847923
308	0.3441535748
309	0.3440168056
310	0.3438969384
311	0.3437874707
312	0.3436344037
313	0.3436000834
314	0.3434035937
315	0.3432275505
316	0.343098372
317	0.3428978328
318	0.342656082
319	0.342503985
320	0.342249558
321	0.3420680429
322	0.3418640537
323	0.3416329344
324	0.3414260412
325	0.3413016409
326	0.3411168884
327	0.3409971723
328	0.3408214253
329	0.3406566242
330	0.3405677813
331	0.340464619
332	0.3404082072
333	0.3402351575
334	0.3400414434
335	0.3399815161
336	0.3398508686
337	0.3397335877
338	0.3395486686
339	0.3394413194
340	0.3394035813
341	0.3393592391
342	0.3392065824
343	0.339093633
344	0.3390462601
345	0.3389901112
346	0.3388967872
347	0.3386349272
348	0.3385173649
349	0.3383740645
350	0.3382652144
351	0.338079281
352	0.3379912248
353	0.3379466956
354	0.3378627739
355	0.33773534
356	0.3375785449
357	0.3374479186
358	0.3374134808
359	0.3371996405
360	0.3369731161
361	0.3369253777
362	0.3368326887
363	0.3366429588
364	0.3364648088
365	0.3364058391
366	0.3362845697
367	0.3362578443
368	0.3360891099
369	0.3359180844
370	0.3356687751
371	0.3356384483
372	0.3354737608
373	0.3353902921
374	0.3352318078
375	0.3350475382
376	0.3349201862
377	0.3348460341
378	0.3346947298
379	0.33446086
380	0.3342468626
381	0.334153728
382	0.333969518
383	0.333831699
384	0.3336186906
385	0.3334561579
386	0.3333646332
387	0.3333344344
388	0.333188221
389	0.3331562091
390	0.3330076803
391	0.3328680033
392	0.3326615706
393	0.3325267884
394	0.332394711
395	0.3321729048
396	0.3320627324
397	0.3319737725
398	0.3318921177
399	0.3316575583
400	0.331474602
401	0.3313720849
402	0.3312095978
403	0.3311044621
404	0.3309405875
405	0.3307233022
406	0.3306835828
407	0.3305692901
408	0.3304207473
409	0.3303294416
410	0.330139668
411	0.3300054409
412	0.329876552
413	0.3297187732
414	0.3295448876
415	0.3293750261
416	0.3293268575
417	0.3292158896
418	0.3291060658
419	0.3289849729
420	0.3289231224
421	0.3288849807
422	0.328706699
423	0.3285440625
424	0.3284086269
425	0.3282701975
426	0.3282317873
427	0.3280702798
428	0.3280485068
429	0.3278523849
430	0.3277601024
431	0.3274775987
432	0.3274022302
433	0.3273525094
434	0.3272365659
435	0.3271168447
436	0.3269591097
437	0.3268213174
438	0.3266939251
439	0.3264411607
440	0.3263823137
441	0.3262028981
442	0.3261202476
443	0.3259735304
444	0.325941199
445	0.3258610588
446	0.3256523945
447	0.3255749665
448	0.3254054886
449	0.3252960299
450	0.3251539721
451	0.325007698
452	0.3249802025
453	0.3246944385
454	0.3245913543
455	0.3245357674
456	0.3243815355
457	0.3242290593
458	0.3241427694
459	0.3241007077
460	0.32401078
461	0.3238354467
462	0.3237978328
463	0.3236992829
464	0.3235280949
465	0.3235003661
466	0.3234222429
467	0.3232008621
468	0.322996969
469	0.3229103061
470	0.322720699
471	0.3225530441
472	0.3224524142
473	0.3223268913
474	0.3222136295
475	0.3220301334
476	0.3218588655
477	0.3216781074
478	0.3215235219
479	0.3214749915
480	0.3213650251
481	0.3211898429
482	0.3210775553
483	0.3209614689
484	0.3208789131
485	0.3208369316
486	0.3207876298
487	0.3206750103
488	0.3205430887
489	0.3204414175
490	0.320377399
491	0.3202086892
492	0.3201512404
493	0.3200462991
494	0.3199276122
495	0.3198418755
496	0.3197108763
497	0.3196591312
498	0.3195967947
499	0.3195326545
500	0.3194361253
501	0.3193608001
502	0.3192962995
503	0.3191634077
504	0.3190435757
505	0.3189466034
506	0.3188088718
507	0.3186992521
508	0.3185756728
509	0.3184608614
510	0.3183485827
511	0.3181329258
512	0.3179332447
513	0.3178139775
514	0.3177805383
515	0.3176291115
516	0.3175987979
517	0.317471174
518	0.3174476367
519	0.3172754141
520	0.3171992886
521	0.3169652541
522	0.316938593
523	0.3168573972
524	0.3167008645
525	0.3166170948
526	0.3165612689
527	0.3164948006
528	0.316235469
529	0.3159974481
530	0.3158686334
531	0.3156870797
532	0.3155935096
533	0.3155495118
534	0.315471997
535	0.3154011317
536	0.315334959
537	0.3152120405
538	0.3150704398
539	0.3149270005
540	0.3148102379
541	0.3147102317
542	0.3146398334
543	0.3144471641
544	0.3143363672
545	0.314211436
546	0.3140864001
547	0.3139699932
548	0.3138913429
549	0.3137769533
550	0.3137088444
551	0.3136134432
552	0.3135692667
553	0.313491747
554	0.3134360605
555	0.3133389919
556	0.3132294014
557	0.3131631889
558	0.312995616
559	0.3128231722
560	0.3126570309
561	0.3125853348
562	0.3124668809
563	0.3123177557
564	0.3121514022
565	0.3120307076
566	0.3119365429
567	0.311875373
568	0.3117122191
569	0.3116158885
570	0.3115224659
571	0.311442803
572	0.3113712295
573	0.3112554664
574	0.3111351114
575	0.3110242949
576	0.3108664811
577	0.3108264352
578	0.3107192095
579	0.3106511841
580	0.3105081864
581	0.3103647422
582	0.3102606247
583	0.3100813364
584	0.3100488699
585	0.3099756266
586	0.3097448606
587	0.3097277393
588	0.3095943803
589	0.309423215
590	0.3093926501
591	0.3093510839
592	0.3092570087
593	0.3091149861
594	0.3090344829
595	0.3089466056
596	0.3088859856
597	0.3088662409
598	0.3088119772
599	0.3086732779
600	0.3086170162
601	0.3085015094
602	0.3083615244
603	0.3082171503
604	0.3080500344
605	0.3079207978
606	0.307901744
607	0.3078693414
608	0.3077421289
609	0.3077249647
610	0.3076303104
611	0.3075787503
612	0.3075567171
613	0.307538348
614	0.3074432774
615	0.3072988299
616	0.307217577
617	0.3071291427
618	0.3069865077
619	0.3068828503
620	0.3066949352
621	0.3065780129
622	0.3063817875
623	0.306251876
624	0.3062352851
625	0.3062153467
626	0.3060763839
627	0.3060410967
628	0.3059810227
629	0.3058514526
630	0.3056520908
631	0.3055540855
632	0.3054956054
633	0.3054038007
634	0.3053890063
635	0.3053722703
636	0.3052946878
637	0.3051485798
638	0.305090036
639	0.3049807131
640	0.3049059157
641	0.3047862569
642	0.3046375822
643	0.3045565354
644	0.3044718129
645	0.3043331586
646	0.3042192362
647	0.3041096583
648	0.3040050628
649	0.3039465105
650	0.3039136957
651	0.3037583384
652	0.3036952957
653	0.3035734305
654	0.3034047843
655	0.3033246005
656	0.3031683625
657	0.3030012535
658	0.3028560315
659	0.3027708341
660	0.3026721276
661	0.3025236041
