iter	Passed	Remaining
0	1	1424
1	4	2099
2	6	2318
3	8	2158
4	9	1943
5	11	1887
6	13	1893
7	15	1866
8	16	1844
9	18	1834
10	19	1784
11	21	1794
12	24	1842
13	26	1893
14	29	1925
15	30	1888
16	32	1875
17	34	1862
18	35	1851
19	37	1841
20	39	1834
21	41	1833
22	42	1823
23	44	1816
24	46	1809
25	48	1801
26	49	1795
27	51	1789
28	53	1794
29	55	1794
30	57	1788
31	58	1783
32	60	1782
33	62	1775
34	64	1772
35	65	1766
36	67	1762
37	69	1757
38	71	1752
39	72	1748
40	74	1742
41	76	1738
42	77	1734
43	79	1731
44	81	1727
45	83	1724
46	84	1720
47	86	1716
48	88	1712
49	90	1710
50	91	1703
51	93	1696
52	94	1692
53	96	1689
54	98	1686
55	100	1686
56	101	1682
57	103	1677
58	104	1674
59	106	1662
60	107	1658
61	109	1651
62	110	1647
63	112	1647
64	114	1643
65	115	1639
66	117	1638
67	119	1636
68	121	1633
69	122	1631
70	124	1623
71	125	1621
72	127	1618
73	129	1615
74	130	1614
75	132	1612
76	134	1610
77	136	1608
78	137	1605
79	139	1603
80	141	1604
81	143	1606
82	145	1604
83	146	1600
84	147	1591
85	149	1583
86	150	1576
87	151	1573
88	153	1571
89	155	1569
90	156	1565
91	158	1563
92	160	1561
93	161	1558
94	163	1556
95	164	1551
96	166	1549
97	168	1547
98	169	1543
99	170	1537
100	172	1534
101	173	1530
102	175	1528
103	176	1524
104	178	1523
105	180	1522
106	182	1521
107	183	1519
108	185	1518
109	187	1516
110	189	1515
111	190	1512
112	192	1513
113	197	1533
114	198	1527
115	200	1524
116	201	1520
117	203	1517
118	204	1515
119	206	1514
120	208	1512
121	210	1513
122	212	1511
123	213	1509
124	215	1507
125	216	1505
126	218	1503
127	220	1502
128	222	1500
129	224	1499
130	225	1497
131	227	1495
132	229	1493
133	230	1492
134	232	1491
135	234	1489
136	236	1488
137	238	1491
138	240	1490
139	242	1490
140	244	1488
141	246	1487
142	247	1485
143	249	1483
144	251	1481
145	252	1479
146	254	1478
147	256	1476
148	258	1474
149	260	1473
150	261	1472
151	263	1471
152	265	1471
153	267	1470
154	269	1468
155	271	1467
156	273	1466
157	274	1464
158	276	1462
159	278	1461
160	280	1459
161	281	1457
162	283	1456
163	285	1454
164	287	1452
165	288	1451
166	290	1450
167	292	1448
168	294	1447
169	296	1445
170	297	1443
171	299	1441
172	301	1440
173	303	1438
174	304	1436
175	306	1435
176	308	1433
177	310	1431
178	311	1430
179	313	1428
180	315	1427
181	317	1425
182	318	1423
183	320	1422
184	322	1420
185	324	1419
186	326	1417
187	329	1424
188	331	1423
189	333	1420
190	334	1417
191	336	1414
192	338	1413
193	339	1411
194	341	1409
195	343	1408
196	344	1406
197	346	1404
198	348	1402
199	350	1400
200	351	1398
201	353	1396
202	355	1394
203	356	1392
204	358	1390
205	360	1388
206	362	1387
207	363	1385
208	365	1383
209	367	1381
210	369	1380
211	370	1378
212	372	1376
213	374	1374
214	376	1373
215	377	1371
216	379	1369
217	381	1368
218	383	1366
219	384	1364
220	386	1363
221	388	1361
222	391	1363
223	393	1361
224	394	1359
225	396	1357
226	398	1356
227	400	1354
