,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.72398708 0.82107003 0.74801444 0.65607028],0.7372854570723846,"('cat_type_Month-to-month',)",0.09452058719950725,0.05896549479199147,0.03404374429105575
2,"(2, 12)",[0.80505711 0.84224677 0.79991125 0.76767614],0.8037228180179296,"('cat_type_Month-to-month', 'cat_internet_service_Fiber optic')",0.04240912674504093,0.026456407183964824,0.01527461380945244
3,"(2, 9, 12)",[0.83102044 0.84890893 0.81943442 0.78327669],0.8206601173512651,"('cat_type_Month-to-month', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic')",0.03847451307897204,0.024001847299086186,0.013857472999175701
4,"(2, 9, 12, 14)",[0.84048693 0.85127142 0.82358755 0.79305832],0.8271010504476846,"('cat_type_Month-to-month', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No')",0.03525320674920297,0.02199227533979987,0.012697246087525824
5,"(2, 9, 12, 14, 20)",[0.84272768 0.85215359 0.82461643 0.79463254],0.828532561180821,"('cat_type_Month-to-month', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_device_protection_No')",0.035156141788433216,0.021931722569146075,0.012662285929088676
6,"(2, 4, 9, 12, 14, 20)",[0.84381274 0.84980313 0.82081077 0.79453755],0.8272410470179704,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_device_protection_No')",0.03488589627481973,0.021763133260745988,0.012564950846501393
7,"(2, 4, 9, 12, 14, 20, 28)",[0.85214908 0.8506327  0.81805205 0.79358758],0.8286053533532318,"('cat_type_Month-to-month', 'cat_type_Two year', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_device_protection_No', 'cat_streaming_tv_None')",0.03907731747191674,0.024377899335429817,0.014074586743588004
8,"(2, 3, 4, 9, 12, 14, 20, 28)",[0.85283739 0.85116171 0.8176429  0.7916786 ],0.8283301506176302,"('cat_type_Month-to-month', 'cat_type_One year', 'cat_type_Two year', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_device_protection_No', 'cat_streaming_tv_None')",0.04070624244054244,0.02539408395298099,0.014661281206077532
9,"(2, 3, 4, 9, 12, 14, 20, 21, 28)",[0.85176435 0.85029306 0.81780235 0.79365393],0.8283784211837458,"('cat_type_Month-to-month', 'cat_type_One year', 'cat_type_Two year', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_device_protection_No', 'cat_device_protection_Yes', 'cat_streaming_tv_None')",0.03881066358005699,0.02421155061566856,0.013978545265454492
10,"(2, 3, 4, 9, 12, 14, 19, 20, 21, 28)",[0.85207695 0.8506838  0.8176429  0.79366901],0.8285181633602359,"('cat_type_Month-to-month', 'cat_type_One year', 'cat_type_Two year', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_online_security_No', 'cat_online_backup_None', 'cat_device_protection_No', 'cat_device_protection_Yes', 'cat_streaming_tv_None')",0.03909324961521419,0.02438783840521837,0.014080325068205921
